percent_gait_cycle,AdductorLongus,AdductorMagnus,BicepsFemorisLongHead,BicepsFemorisShortHead,ExtensorDigitorumLongus,ExtensorHallucisLongus,FlexorDigitorumLongus,FlexorHallucisLongus,Gastrocnemius,GluteusMaximusLower,GluteusMaximusUpper,GluteusMedius,Gracilis,Iliacus,PeroneusBrevis,PeroneusLongus,Popliteus,RectusFemoris,Sartorius,Semimembranosus,Semitendinosus,Soleus,TensorFasciaLata,TibialisAnterior,TibialisPosterior,VastusIntermedius,VastusLateralis,VastusMedialisLongus,VastusMedialisOblique
0.0,0.0,40.733177463591225,12.379050342748004,0.0,25.323656764031625,33.230742872486076,0.0,0.0,0.0,20.05317515726938,20.480611215749093,23.388843446480678,14.84056708,0.0,0.0,0.0,15.74569403863893,0.0,0.0,27.90030215336208,18.412814798456797,0.0,8.829081682691367,36.69606379356589,8.761867303790153,18.25035323717788,20.59321412358574,17.521629177374848,23.777862035713724
1.0,0.0,39.75324963597624,12.102459688543465,0.0,24.569570547076175,32.52293462611822,0.0,0.0,0.0,21.51191018515846,21.134989221217847,24.018244082314613,14.805520137135039,0.0,0.0,0.0,17.27286822027644,0.0,0.0,25.22740916670872,19.18777993659872,0.0,8.501729227467399,34.84851637036104,13.511582578343202,19.161338438292443,20.51157320876756,15.610525573253785,25.8166935542241
2.0,0.0,37.629864367492736,9.800286055958372,0.0,24.077275011924588,30.168921471393364,0.0,0.0,0.0,23.579927337998125,22.944437663545365,26.93452883199082,14.001621078504009,0.0,0.0,0.0,17.371853477934543,0.0,0.0,24.723603471166246,18.267823536520613,0.0,10.263529870357907,33.84864606643071,18.911599247317394,20.265724542779402,21.40863237547703,17.16782278754715,31.48257949603689
3.0,0.0,31.864027241814927,8.358627084729482,0.0,23.297069842693183,27.207109473245723,0.0,0.0,0.0,24.38229226058493,26.322986598646427,27.358105492355783,10.935774722399788,0.0,0.0,0.0,16.508832006035913,0.0,0.0,23.628810679946056,15.56782771988198,0.0,13.717178285583929,33.838570687754284,22.486184009806166,16.08668511617323,23.101731660592428,21.493336545590257,34.406865970254984
4.0,0.0,24.370500369481068,5.992906181528461,0.0,22.97382967944865,26.64347231150867,0.0,0.0,0.0,21.650220028390784,26.643131278686383,26.906101626835948,3.340470142529,0.0,0.0,0.0,14.578923089622755,0.0,0.0,21.77063419071195,13.636741068523342,0.0,17.239283925402333,33.85664763467061,21.56867329238751,17.682308805207587,27.35220514210432,20.489524029061585,35.94163579693039
5.0,0.0,17.60370151006718,0.0002902489176586087,0.0,21.54742953511718,26.5352683620841,0.0,0.0,0.0,15.113951886264829,26.564084962955793,27.82420351824967,0.0,0.0,0.0,0.0,9.822487597832357,0.0,0.0,20.76725701606486,14.422959309838149,0.0,17.533932507396845,34.46229861554224,18.849074901540437,19.502515154589258,27.400528031757478,21.035247653100875,37.89130918577865
6.0,0.0,12.697006754287932,0.0,0.0,18.913607921074654,23.952101310062094,0.0,0.0,0.0,12.823933692323907,24.814910862356896,29.619499520025837,0.0,0.0,0.0,0.0,7.535182561527064,0.0,0.0,19.761257264136646,16.219256291310625,1.1829559048077127,15.808165356283201,33.063284624074576,15.062188053814866,21.437463747175247,28.501564064815316,20.050824315125766,36.62637205185845
7.0,0.0,4.751454445663377,0.0,0.0,16.53908371491172,21.915651407934366,0.0,0.0,0.0,12.178766761693497,25.815536433391518,30.084943085521395,0.0,0.0,0.0,0.0,7.342806263807152,0.0,0.0,20.517961677515913,16.380333367419798,8.729706888243806,17.710904548231266,30.27174075475048,14.04256729471659,23.943775476299198,29.072956546378546,16.808519202011315,32.46502700553037
8.0,0.0,0.0,0.0,0.0,14.574441464236102,19.88414878684602,0.0,0.0,1.1556460134648678,10.768111740005573,25.406841762951608,28.38918263661387,0.0,0.0,0.0,0.0,6.524926483019735,0.0,0.0,20.382649589533152,17.074398479115562,15.198847031022465,24.799815567017117,27.347607489597788,14.749053619232638,22.18852336752781,27.28347749431075,15.183627975866775,28.835526417303207
9.0,0.0,0.0,0.0,0.0,13.301478588584635,11.123763841113037,0.0,0.0,8.167564377309358,3.8733397590526772,22.204884797339464,25.807760582691145,0.0,0.0,0.0,0.0,6.4600042956219275,0.0,0.0,17.68563237611338,15.653593879277373,17.811288308490568,29.804983772607745,24.307020579858197,16.265696104544983,18.643662632128734,25.225480650890646,14.190234657704748,25.030477926273488
